cn,pr,pf,link,inst,plink,rating,tags
Computational Geometry,0,NPTEL,https://nptel.ac.in/courses/106102011,Prof. Sandeep Sen Prof. Amit Kumar,https://assets.thehansindia.com/h-upload/2021/01/20/1025790-nptel.webp,0,Miscellaneous
Master JavaScript - Complete Beginner to Advanced,3999,GeeksforGeeks,https://practice.geeksforgeeks.org/courses/javascript,Prakash Narsingrao Sakari,https://media.geeksforgeeks.org/img-practice/banner/javascript-thumbnail.png?v=19545,4.3,Development
Getting into the Robotics with,2299,Udemy,https://www.udemy.com/course/getting-into-the-robotics-with-robotic-manipulators/,Burhan Mohayaddin,https://img-c.udemycdn.com/course/240x135/4387474_2c5d_2.jpg,3.7,Robotics
Dynamic Programming Algorithms Master Course,0,Udemy,https://www.udemy.com/course/dynamic-programming-master-course-coding-minutes/,Apaar Kamal Prateek Narang Coding Minutes,https://img-b.udemycdn.com/course/240x135/4462316_9bf9_5.jpg,4.2,Data Structure and Algorithm
Core Java for Automation Testers-,3199,Udemy,https://www.udemy.com/course/core-java-tutorials/,Rahul Shetty,https://img-c.udemycdn.com/course/240x135/570674_9b69_3.jpg,4.5,OOPS
Database Management Systems,0,Youtube,https://www.youtube.com/playlist?list=PLBlnK6fEyqRi_CUQ-FXxgzKQ1dwr_ZJWZ,Neso Academy,https://img.youtube.com/vi/6Iu45VZGQDk/sddefault.jpg,0,DBMS
Master statistics & machine learning:,3199,Udemy,https://www.udemy.com/course/statsml_x/,Mike X Cohen,https://img-b.udemycdn.com/course/240x135/3160664_ef7f_3.jpg,4.7,Machine Learning
NOC:An Introduction To Probability In Computing,0,NPTEL,https://nptel.ac.in/courses/106106176,Prof. John Augustine,https://assets.thehansindia.com/h-upload/2021/01/20/1025790-nptel.webp,0,Miscellaneous
Introduction To Computer Graphics,0,NPTEL,https://nptel.ac.in/courses/106102065,Prof. Prem K Kalra,https://assets.thehansindia.com/h-upload/2021/01/20/1025790-nptel.webp,0,Miscellaneous
Data Management for Clinical Research,0,Coursera,https://www.coursera.org/learn/clinical-data-management,Vanderbilt University,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/67/c220e0088f11e6afef9baf14d90c9d/DMCRLogo.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,4.7,DBMS
Principles Of Programming Languages,0,NPTEL,https://nptel.ac.in/courses/106102067,Prof. S. Arun Kumar,https://assets.thehansindia.com/h-upload/2021/01/20/1025790-nptel.webp,0,Miscellaneous
Relational Database Administration (DBA),0,Coursera,https://www.coursera.org/learn/relational-database-administration,IBM,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/9c/e99a2cc09045faa2272c8aec469b95/Database-Administration.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,4.5,DBMS
The Complete VMware vSphere 7:,3199,Udemy,https://www.udemy.com/course/vmware-vsphere/,Fettah Ben,https://img-c.udemycdn.com/course/240x135/1057142_4a89_6.jpg,4.5,Operating System
NOC:Circuit Complexity Theory,0,NPTEL,https://nptel.ac.in/courses/106104241,Prof. Raghunath Tewari,https://assets.thehansindia.com/h-upload/2021/01/20/1025790-nptel.webp,0,Miscellaneous
Operating Systems,0,NPTEL,https://nptel.ac.in/courses/106108101,Prof. P.C.P. Bhatt,https://assets.thehansindia.com/h-upload/2021/01/20/1025790-nptel.webp,0,Miscellaneous
Certified in Cybersecurity,0,Coursera,https://www.coursera.org/specializations/certified-in-cybersecurity,(ISC)²,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/76/cf819b19344ed59220afc55c7c51f6/CC_badge_icon_600x600.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,4.8,Cyber Security
System Analysis And Design,0,NPTEL,https://nptel.ac.in/courses/106108103,Prof. V. Rajaraman,https://assets.thehansindia.com/h-upload/2021/01/20/1025790-nptel.webp,0,Miscellaneous
NOC:Foundations Of Cryptography,0,NPTEL,https://nptel.ac.in/courses/106106221,Prof. Ashish Choudhury,https://assets.thehansindia.com/h-upload/2021/01/20/1025790-nptel.webp,0,Miscellaneous
Indexing And Searching Techniques In Databases,0,NPTEL,https://nptel.ac.in/courses/106104021,Dr. Arnab Bhattacharya,https://assets.thehansindia.com/h-upload/2021/01/20/1025790-nptel.webp,0,Miscellaneous
Introduction to Blockchain for Global Commerce,0,Coursera,https://www.coursera.org/learn/introduction-to-blockchain-for-global-commerce,INSEAD,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/40/479a1f8733456e91d5f12a28892f28/Course-1.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,4.8,Blockchain Technology
Blockchain: Foundations and Use Cases,0,Coursera,https://www.coursera.org/learn/blockchain-foundations-and-use-cases,ConsenSys Academy,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/6a/9f82fef91a4a2ea20cc00824f35eee/Coursera-BlockchainFoundations-MainCourseLogo-2021.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,4.7,Blockchain Technology
NOC:Google Cloud Computing Foundation Course,0,NPTEL,https://nptel.ac.in/courses/106105223,Prof. Soumya Kanti Ghosh,https://assets.thehansindia.com/h-upload/2021/01/20/1025790-nptel.webp,0,Miscellaneous
NOC:Introduction to Information Security I,0,NPTEL,https://nptel.ac.in/courses/106106129,Prof. V. Kamakoti,https://assets.thehansindia.com/h-upload/2021/01/20/1025790-nptel.webp,0,Miscellaneous
